survey,source,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20
CR. 0511-12 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,0,0,0,0,0,0,1,201,203,28,42,232,85,306,1309,2309,6491,8977,11452,18142,43367,77604,59069,39130,25694,11438,4140,1223,133,132,12,0,0,0,0
CR. 0602-04 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,331,8333,23455,10159,6767,23131,55219,55662,44688,26990,23986,29694,29684,21115,15281,13968,16297,17207,17810,18433,24991,32148,61320,69022,56391,31529,11754,4103,1015,109,0,0,0,0,0
CR. 0608-09 CRUCERO DE ESTIMACION DE BIOMASA DESOVANTE POR EL METODO DE PRODUCCION DE HUEVOS,ReestimacionTBE,0,0,0,0,0,0,0,0,0,293,527,3301,3947,2975,3272,5810,12210,21394,28325,27557,20877,28445,24651,23695,37451,60200,48367,30604,14041,9281,14,72,0,0,0,0,0
CR. 0611-12 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,21,114,4197,53106,78746,65568,184084,53251,74595,71415,35939,18216,4356,4176,2546,3281,5768,6221,7429,5387,6023,7931,14492,26290,48427,55279,53172,27031,12156,3732,619,163,8,0,0,0,0
CR. 0702-04 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,52,15,102833,142440,96441,47496,2406,11294,39248,39870,41752,29115,17536,21737,23940,18499,17308,19708,19938,24845,31384,33892,31871,28234,16065,18130,44013,57830,32560,8849,1262,238,0,0,0,0,0
CR. 0708-09 CRUCERO DE ESTIMACION DE BIOMASA DESOVANTE POR EL METODO DE PRODUCCION DE HUEVOS,ReestimacionTBE,0,0,0,0,0,26,26,462,282,232,528,1008,3740,6863,13338,17235,25757,31356,27454,24039,30924,45449,48987,51887,52337,47860,46766,32291,17946,6772,1474,269,0,0,0,0,0
CR. 0802-04 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,0,0,0,0,22,17131,76536,107046,175183,59844,61256,50797,70669,57944,55709,59487,57649,48646,49995,33641,24425,16829,24765,44927,53240,50784,31794,11868,4009,218,13,0,0,0,0
CR. 0808-09 CRUCERO DE ESTIMACION DE BIOMASA DESOVANTE POR EL METODO DE PRODUCCION DE HUEVOS,ReestimacionTBE,0,0,0,0,0,0,0,0,540,2940,6118,22023,57288,82432,46599,19129,10662,10355,5843,6434,10692,18398,25274,28208,33048,22764,17879,11804,9555,5044,1286,296,0,0,0,0,0
CR. 0811-12 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,13,1014,1359,802,1177,2438,3536,4860,6732,7222,6827,5810,4544,1381,481,670,1521,2041,2254,4144,10585,24429,42034,59648,57013,48844,26786,13292,8719,4000,855,143,0,0,0,0
CR. 0902-04 CRUCERO DE EVALUACION HIDROACUSTICA DE RECURSOS PELAGICOS,ReestimacionTBE,0,0,5,19,28155,128975,18476,5435,1722,6135,7562,7870,19211,31887,40684,36963,26420,16803,14966,14474,12029,13773,19204,28159,30852,37542,46432,47688,32889,11343,3883,1728,40,0,0,0,0
